Date,Open,High,Low,Close,AdjClose
1994-01-01,3615.199951,3654.699951,3581.0,3654.5,3654.496338
1994-01-02,3615.199951,3654.699951,3581.0,3654.5,3654.496338
1994-01-03,3615.199951,3654.699951,3581.0,3654.5,3654.496338
1994-01-04,3654.5,3675.5,3625.100098,3630.300049,3630.296387
1994-01-05,3625.199951,3625.199951,3583.399902,3621.199951,3621.196289
1994-01-06,3625.199951,3625.199951,3583.399902,3621.199951,3621.196289
1994-01-07,3621.199951,3644.399902,3598.699951,3636.399902,3636.39624
1994-01-08,3621.199951,3644.399902,3598.699951,3636.399902,3636.39624
1994-01-09,3621.199951,3644.399902,3598.699951,3636.399902,3636.39624
1994-01-10,3655.199951,3678.199951,3655.199951,3660.600098,3660.596436
1994-01-11,3679.699951,3712.5,3679.699951,3712.399902,3712.39624
1994-01-12,3712.300049,3712.300049,3675.899902,3680.100098,3680.096436
1994-01-13,3680.100098,3698.199951,3670.399902,3680.800049,3680.796387
1994-01-14,3680.800049,3737.399902,3662.899902,3736.399902,3736.395996
1994-01-15,3680.800049,3737.399902,3662.899902,3736.399902,3736.395996
1994-01-16,3680.800049,3737.399902,3662.899902,3736.399902,3736.395996
1994-01-17,3736.399902,3783.300049,3723.899902,3729.100098,3729.096436
1994-01-18,3729.100098,3758.899902,3693.699951,3757.0,3756.996094
1994-01-19,3784.300049,3812.100098,3784.300049,3811.300049,3811.296143
1994-01-20,3811.300049,3819.0,3783.800049,3794.399902,3794.395996
1994-01-21,3794.399902,3796.300049,3777.699951,3790.5,3790.496094
1994-01-22,3794.399902,3796.300049,3777.699951,3790.5,3790.496094
1994-01-23,3794.399902,3796.300049,3777.699951,3790.5,3790.496094
1994-01-24,3773.399902,3773.399902,3754.399902,3762.600098,3762.596191
1994-01-25,3788.300049,3823.600098,3788.300049,3811.5,3811.496094
1994-01-26,3811.5,3875.100098,3811.399902,3874.600098,3874.596191
1994-01-27,3874.600098,3933.100098,3872.100098,3875.899902,3875.895996
1994-01-28,3875.899902,3920.699951,3863.5,3915.699951,3915.696045
1994-01-29,3875.899902,3920.699951,3863.5,3915.699951,3915.696045
1994-01-30,3875.899902,3920.699951,3863.5,3915.699951,3915.696045
1994-01-31,3951.5,3980.5,3951.5,3980.5,3980.49585
1994-02-01,3954.399902,3954.399902,3890.399902,3896.899902,3896.895996
1994-02-02,3896.899902,3951.399902,3883.199951,3947.0,3946.996094