"cantidad_de_datos","tiempo_en_milisegundos","nodos_threadpool"
"56615","11039","1"
"58440","11641","1"
"60270","11397","1"
"62095","10695","1"
"63920","11484","1"
"65745","13850","1"
"67575","13038","1"
"69400","13813","1"
"71225","12887","1"
"73050","13039","1"
"74880","14280","1"
"76705","14120","1"
"78530","13562","1"
"80355","14261","1"
"82185","15047","1"
"84010","14229","1"
"85835","13901","1"
"87660","15306","1"
"89490","14075","1"
"91315","13956","1"
"93140","14686","1"
"94965","15728","1"
"96795","15390","1"
"98620","15159","1"
"100445","17335","1"
"102270","16082","1"
"104100","15853","1"
"105925","16426","1"
"107750","15850","1"
"56615","11524","2"
"58440","12155","2"
"60270","12647","2"
"62095","11532","2"
"63920","12330","2"
"65745","12333","2"
"67575","12595","2"
"69400","13395","2"
"71225","13025","2"
"73050","13843","2"
"74880","14964","2"
"76705","13961","2"
"78530","14149","2"
"80355","14784","2"
"82185","13998","2"
"84010","15784","2"
"85835","13852","2"
"87660","14055","2"
"89490","14346","2"
"91315","14613","2"
"93140","15026","2"
"94965","14925","2"
"96795","15828","2"
"98620","15999","2"
"100445","15233","2"
"102270","15910","2"
"104100","15804","2"
"105925","16316","2"
"107750","15654","2"
"56615","11403","3"
"58440","12098","3"
"60270","12631","3"
"62095","11728","3"
"63920","12571","3"
"65745","12617","3"
"67575","12994","3"
"69400","13118","3"
"71225","13058","3"
"73050","12822","3"
"74880","13443","3"
"76705","12821","3"
"78530","13097","3"
"80355","12578","3"
"82185","13543","3"
"84010","12815","3"
"85835","13551","3"
"87660","14564","3"
"89490","14173","3"
"91315","14386","3"
"93140","15385","3"
"94965","15338","3"
"96795","14599","3"
"98620","15832","3"
"100445","14918","3"
"102270","15740","3"
"104100","15960","3"
"105925","16213","3"
"107750","16678","3"
"56615","11513","4"
"58440","12641","4"
"60270","13344","4"
"62095","14492","4"
"63920","12719","4"
"65745","12285","4"
"67575","12299","4"
"69400","13047","4"
"71225","13174","4"
"73050","13658","4"
"74880","13259","4"
"76705","14530","4"
"78530","14254","4"
"80355","14184","4"
"82185","14163","4"
"84010","14430","4"
"85835","14755","4"
"87660","13010","4"
"89490","14556","4"
"91315","13397","4"
"93140","15036","4"
"94965","15368","4"
"96795","15589","4"
"98620","15457","4"
"100445","15651","4"
"102270","15426","4"
"104100","16644","4"
"105925","16383","4"
"107750","16614","4"